,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
3523,685232891,20170830,LAB,EMPLOYEE,,LAB,,,,,51,1.79324894514768,"New York, United States",US,,,https://www.geekwire.com/2017/official-dara-khosrowshahi-ubers-next-ceo-leaving-expedia-12-years-helm/
3532,685238437,20170830,,,,,LAB,EMPLOYEE,,LAB,40,0.15192782712535,,,Iran,IR,http://www.oann.com/uber-officially-welcomes-as-ceo-expedias-dara-khosrowshahi/
3533,685239425,20170830,IRN,IRAN,IRN,,USAMED,REUTERS,USA,MED,10,0.118599125861552,Iran,IR,Iran,IR,http://www.nasdaq.com/article/uber-officially-welcomes-as-ceo-expedias-dara-khosrowshahi-20170830-00052
3535,685244458,20170830,IND,NEW DELHI,IND,,,,,,80,-1.30057803468208,"Sirsa, Haryana, India",IN,,,http://indiatoday.intoday.in/story/uber-names-expedia-chief-dara-khosrowshahi-as-ceo/1/1036883.html
3538,685250860,20170830,FRA,PARIS,FRA,,,,,,44,-4.10396716826265,"California, United States",US,,,http://news.abs-cbn.com/business/08/30/17/uber-hires-expedia-boss-khosrowshahi-as-ceo
3540,685256753,20170830,GOVBUS,SECURITIES AND EXCHANGE COMMISSION,,GOV,LAB,EMPLOYEE,,LAB,20,0.0,"New York, United States",US,"New York, United States",US,http://www.dailymail.co.uk/wires/afp/article-4830896/Uber-offers-chief-job-Expedia-boss-filing.html
3542,685274157,20170830,USA,SAN FRANCISCO,USA,,USAGOV,UNITED STATES,USA,GOV,43,-0.396254824617212,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://zeenews.india.com/international-business/uber-officially-welcomes-expedias-dara-khosrowshahi-as-ceo-2037900.html
3544,685289148,20170830,,,,,LAB,EMPLOYEE,,LAB,43,-0.37950664136622,,,India,IN,http://www.ibtimes.co.uk/ubers-new-ceo-dara-khosrowshahi-tells-expedia-staff-i-have-tell-you-i-am-scared-1637211
3547,685301813,20170830,,,,,LAB,EMPLOYEE,,LAB,40,0.52724077328647,,,"New York, United States",US,https://thewire.in/172186/expedias-dara-khosrawshahi-ubers-ceo/
3548,685307121,20170830,IRN,IRAN,IRN,,USAMED,REUTERS,USA,MED,10,0.16750418760469,Russia,RS,Russia,RS,http://in-cyprus.com/uber-officially-welcomes-as-ceo-expedias-dara-khosrowshahi/
3549,685317693,20170830,USAMED,REUTERS,USA,MED,GOV,CHIEF EXECUTIVE,,GOV,51,-0.19841269841269,Iran,IR,Iran,IR,http://www.gizmodo.in/news/uber-officially-welcomes-expedias-dara-khosrowshahi-as-ceo/articleshow/60292819.cms
3551,685334407,20170830,USA,SAN FRANCISCO,USA,,BUS,COMPANY,,BUS,40,-0.186340942257397,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://www.seattletimes.com/business/former-expedia-ceo-takes-helm-of-uber-on-wednesday/
3552,685334632,20170830,USA,TEXAS,USA,,USAEDU,TEXAS,USA,EDU,36,1.04529616724738,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://kdhnews.com/business/former-expedia-ceo-takes-helm-of-uber-on-wednesday/article_ab55ed2b-2cb6-5378-a8c7-3f121d63d921.html
3554,685337791,20170830,USABUS,SAN FRANCISCO,USA,BUS,LAB,EMPLOYEE,,LAB,13,-0.41384499623777,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://abcnews.go.com/Technology/wireStory/expedia-ceo-takes-helm-uber-wednesday-49511060
